policy,n,xo,env,num_machines,lead_time_p,mttf,a,co,ce,max_batch_size,sorted_degradation,avg_cost,std_cost,avg_FR,std_FR,avg_ES,std_ES
dqn,0,0,Inventory,2,0.2,5,1,2,5,5,False,1.7163899999997345,0.011410210339862718,0.46622492648422165,0.003221769844559652,0.3644772727272723,0.0043216373733548225
dqn,0,0,Inventory,2,0.2,5,1,2,10,3,False,2.4690099999997677,0.021807530809336048,0.614864899915222,0.005766017807519147,0.47019545454545425,0.005609689447953251
dqn,0,0,Inventory,2,0.2,5,1,2,10,5,False,2.471679999999778,0.019233982946860836,0.6345452354504468,0.00535908226873196,0.4810409090909092,0.006848793402810349
dqn,0,0,Inventory,2,0.5,5,1,2,5,3,False,1.431304999999786,0.008371512706791226,0.7353468366593917,0.004997311828542333,0.51200909090909,0.0048045175022839535
dqn,0,0,Inventory,2,0.5,5,1,2,5,5,False,1.4580849999997478,0.007183489750807599,0.8001396005115714,0.005420248166967356,0.6502363636363636,0.0046983292265084286
dqn,0,0,Inventory,2,0.5,5,1,2,10,3,False,1.7950299999996333,0.010514994056106652,0.8555864455853079,0.003337358913894817,0.7660499999999997,0.005671862186369365
dqn,0,0,Inventory,2,0.5,5,1,2,10,5,False,1.7940499999996244,0.014738690579560235,0.8405071318066927,0.0035357422138141323,0.7396727272727267,0.0042280448952633064
dqn,0,0,Inventory,5,0.2,5,1,2,5,3,False,3.466039999999493,0.013022630302674738,0.607294885967663,0.004050835554299834,0.7733136363636353,0.010337855693062416
dqn,0,0,Inventory,5,0.2,5,1,2,5,5,False,3.4591149999994846,0.021351733536177083,0.6086431263206349,0.006178585452691866,0.8189500000000006,0.010802116604651172
dqn,0,0,Inventory,5,0.2,5,1,2,10,3,False,5.131369999999459,0.043744932277918036,0.6258555450202147,0.004671987514455049,0.8896590909090909,0.015757082232947115
dqn,0,0,Inventory,5,0.2,5,1,2,10,5,False,4.993694999999199,0.062487168482814597,0.6914811548298485,0.007018528051793613,0.9367590909090913,0.01532940039691442
dqn,0,0,Inventory,5,0.5,5,1,2,5,3,False,2.766159999999434,0.014897211148392799,0.8480880806145988,0.0033473573276090935,1.2814545454545452,0.00813567798024973
dqn,0,0,Inventory,5,0.5,5,1,2,5,5,False,2.8131849999994496,0.006432808484630628,0.8432031722303528,0.0014046944253019657,1.5431681818181788,0.008149482820888227
dqn,0,0,Inventory,5,0.5,5,1,2,10,3,False,3.3870599999992494,0.016349752291703566,0.874672073145684,0.0015612515888572575,1.416722727272728,0.006751138563298104
dqn,0,0,Inventory,5,0.5,5,1,2,10,5,False,3.4006299999992295,0.02379878358235173,0.9273202149824508,0.0024737558458141256,1.8920545454545454,0.007595991765996669
dqn,0,0,Inventory,10,0.2,5,1,2,5,3,False,5.770249999999065,0.03246759923369336,0.6266993599754984,0.00463482918609754,1.1507818181818152,0.02265792875655652
dqn,0,0,Inventory,10,0.2,5,1,2,5,5,False,5.840759999998947,0.03473035991750802,0.701012793232675,0.004212246800281001,1.4649590909090928,0.014954054288703935
dqn,0,0,Inventory,10,0.2,5,1,2,10,3,False,8.289599999998106,0.05760802027495142,0.7218467577122322,0.0023622799596541197,1.4433727272727275,0.015907153128740862
dqn,0,0,Inventory,10,0.2,5,1,2,10,5,False,8.27221999999814,0.06502594559095996,0.7219632630515449,0.0038986790557789903,1.5633318181818203,0.022899060304079906
dqn,0,0,Inventory,10,0.5,5,1,2,5,3,False,4.426564999999124,0.016035586206932167,0.8218086762752816,0.0023821361014246143,1.5953909090909086,0.010900587595050554
dqn,0,0,Inventory,10,0.5,5,1,2,5,5,False,4.879304999999116,0.01655236312434631,0.9268339179808717,0.0016017033422723878,3.297290909090909,0.025649409962124597
dqn,0,0,Inventory,10,0.5,5,1,2,10,3,False,5.265924999998807,0.025774505329864986,0.9502084583740127,0.0016316735854831343,3.023595454545453,0.006730602677074163
dqn,0,0,Inventory,10,0.5,5,1,2,10,5,False,5.4909899999988925,0.01774905349588157,0.9415633572673663,0.0013886205987823838,3.4437227272727275,0.017629818959051687
dqn,0,0,Inventory,30,0.2,5,1,2,5,3,False,34.46711000000025,0.04047919095042004,0.0036932053638952357,0.00015549712070626992,6.818181818181782e-05,5.081972676135863e-05
dqn,0,0,Inventory,30,0.2,5,1,2,5,5,False,31.808209999995835,0.04806618249878355,0.013883654101566601,0.00043516645875521216,0.00045454545454545346,0.00017721444263289028
dqn,0,0,Inventory,30,0.2,5,1,2,10,3,False,61.25563499999244,0.10043599964653482,0.0037696457434558293,0.0001444667373593707,4.545454545454532e-05,4.979295977319675e-05
dqn,0,0,Inventory,30,0.2,5,1,2,10,5,False,54.45211999999075,0.12929062069614963,0.055376169610765094,0.0013333963258308442,0.007331818181818189,0.0012670408683162096
dqn,0,0,Inventory,30,0.2,10,1,2,5,3,False,7.38098999999867,0.060411964046855095,0.8150428242164874,0.00489452126184126,2.8254000000000006,0.03937503928897247
dqn,0,0,Inventory,30,0.2,10,1,2,5,5,False,13.191704999997608,0.07251769939122049,0.9857924909243316,0.0011533219446957332,11.767345454545477,0.0793185548311123
dqn,0,0,Inventory,30,0.2,10,1,2,10,3,False,9.155044999998298,0.07712577211927807,0.9199904800826086,0.003369958827152071,4.90534545454545,0.04579803940369403
dqn,0,0,Inventory,30,0.2,10,1,2,10,5,False,12.962999999997342,0.07309256118104066,0.9892791072825577,0.0009673910804261577,11.203586363636346,0.0827865632937107
dqn,0,0,Inventory,30,0.5,5,1,2,5,3,False,33.93769000000038,0.04202528881516979,0.00952329657233184,0.0002594764669233405,0.00012727272727272658,0.00010123207932418178
dqn,0,0,Inventory,30,0.5,5,1,2,5,5,False,26.444369999994898,0.09660025155249083,0.1385295328507293,0.002487837871046716,0.02205000000000003,0.0020641018698033427
dqn,0,0,Inventory,30,0.5,5,1,2,10,3,False,60.96075999999219,0.06215936695307008,0.009480125576247223,0.0002523004742440169,0.00019090909090909016,0.00010123207932418175
dqn,0,0,Inventory,30,0.5,5,1,2,10,5,False,57.556379999992885,0.08400309875232688,0.03518020198244726,0.0005666105153113533,0.0015545454545454547,0.00044712118644937767
dqn,0,0,Inventory,30,0.5,10,1,2,5,3,False,6.293779999998629,0.02942196628373075,0.8602698311160939,0.003461517795697437,2.3345681818181827,0.04974374104073089
dqn,0,0,Inventory,30,0.5,10,1,2,5,5,False,21.385714999996864,0.052236352523871946,1.0,0.0,20.146204545454587,0.04466299080823936
dqn,0,0,Inventory,30,0.5,10,1,2,10,3,False,7.496694999998491,0.05549007321133165,0.9455049838851528,0.0025925472172219463,4.004190909090903,0.043463192369049816
